date,symbol,open,high,low,close,volume
2014-01-02,ESH14,2296.25,2299.25,2280.25,2285.0,1243227
2014-01-03,ESH14,2285.75,2291.5,2279.0,2284.0,961601
2014-01-06,ESH14,2282.5,2291.0,2275.75,2279.25,1369207
2014-01-07,ESH14,2278.25,2293.25,2278.0,2289.25,1162443
2014-01-08,ESH14,2289.25,2293.25,2284.0,2291.0,1330414
2014-01-09,ESH14,2290.25,2297.5,2282.75,2291.5,1324605
2014-01-10,ESH14,2291.75,2301.0,2284.75,2296.25,1455887
2014-01-13,ESH14,2297.0,2297.25,2268.0,2273.5,1710408
2014-01-14,ESH14,2274.25,2292.75,2271.25,2291.5,1595178
2014-01-15,ESH14,2291.5,2304.25,2290.0,2300.0,1260095
2014-01-16,ESH14,2300.0,2302.25,2293.0,2294.75,952497
2014-01-17,ESH14,2296.5,2301.25,2287.75,2292.75,1182782
2014-01-21,ESH14,2292.5,2302.5,2284.75,2297.0,1329662
2014-01-22,ESH14,2296.0,2301.75,2293.25,2297.0,941604
2014-01-23,ESH14,2297.5,2302.5,2272.25,2282.75,1815516
2014-01-24,ESH14,2282.5,2286.5,2238.5,2240.5,2566321
2014-01-27,ESH14,2240.25,2250.5,2225.5,2234.25,2776036
2014-01-28,ESH14,2229.75,2255.5,2229.5,2246.75,1726338
2014-01-29,ESH14,2254.5,2259.75,2222.5,2229.75,2740741
2014-01-30,ESH14,2228.5,2252.25,2226.25,2239.75,1824579
2014-01-31,ESH14,2242.0,2246.75,2219.75,2235.0,2389820
2014-02-03,ESH14,2236.0,2242.25,2190.75,2191.25,3026524
2014-02-04,ESH14,2196.75,2212.0,2192.5,2202.25,2325416
2014-02-05,ESH14,2202.75,2209.25,2190.5,2202.5,2075514
2014-02-06,ESH14,2203.25,2228.25,2202.5,2225.0,1739245
2014-02-07,ESH14,2226.5,2252.5,2216.75,2252.0,2344919
2014-02-10,ESH14,2251.5,2254.5,2244.75,2253.25,1148560
2014-02-11,ESH14,2253.75,2278.0,2252.75,2272.0,1764385
2014-02-12,ESH14,2271.75,2281.75,2269.75,2275.5,1385941
2014-02-13,ESH14,2275.25,2285.5,2260.75,2282.75,1645236
2014-02-14,ESH14,2282.25,2297.25,2274.5,2293.5,1365228
2014-02-18,ESH14,2292.0,2298.75,2290.0,2296.0,1210508
2014-02-19,ESH14,2295.75,2303.0,2281.75,2284.0,1771087
2014-02-20,ESH14,2284.5,2298.75,2275.75,2294.75,1608588
2014-02-21,ESH14,2294.5,2302.5,2291.25,2292.75,1316655
2014-02-24,ESH14,2293.75,2315.25,2287.75,2304.5,1612323
2014-02-25,ESH14,2303.25,2309.5,2295.75,2304.75,1566204
2014-02-26,ESH14,2306.0,2311.75,2296.5,2300.5,1464320
2014-02-27,ESH14,2302.25,2314.25,2291.25,2312.5,1615828
2014-02-28,ESH14,2313.0,2325.0,2303.75,2316.0,2106508
2014-03-03,ESH14,2304.5,2308.0,2290.75,2301.5,2376689
2014-03-04,ESH14,2302.25,2333.25,2302.0,2330.0,1750397
2014-03-05,ESH14,2329.25,2334.0,2326.25,2331.0,1254803
2014-03-06,ESH14,2332.25,2339.5,2329.5,2334.75,1283006
2014-03-07,ESH14,2334.75,2346.0,2327.75,2336.5,1756169
2014-03-10,ESH14,2334.0,2337.25,2324.25,2335.75,1167755
2014-03-11,ESH14,2334.75,2340.75,2321.5,2323.75,1609666
2014-03-12,ESH14,2323.25,2327.5,2312.25,2326.25,1666288
