date,symbol,open,high,low,close,volume
2014-01-02,NQH14,6509.25,6512.5,6482.5,6492.75,196559
2014-01-03,NQH14,6493.75,6500.0,6460.75,6465.0,195452
2014-01-06,NQH14,6464.0,6473.75,6439.25,6451.25,246009
2014-01-07,NQH14,6449.75,6490.75,6449.5,6482.25,191716
2014-01-08,NQH14,6481.75,6503.0,6477.5,6498.25,208163
2014-01-09,NQH14,6496.25,6510.5,6469.0,6481.25,214724
2014-01-10,NQH14,6483.25,6505.5,6463.0,6495.0,263424
2014-01-13,NQH14,6496.75,6500.0,6426.0,6443.0,333010
2014-01-14,NQH14,6443.75,6510.0,6436.75,6507.25,293427
2014-01-15,NQH14,6507.25,6543.75,6504.25,6531.75,234221
2014-01-16,NQH14,6532.0,6541.75,6527.5,6528.75,162062
2014-01-17,NQH14,6530.75,6542.5,6507.75,6518.25,256190
2014-01-21,NQH14,6518.0,6545.5,6511.0,6543.0,210486
2014-01-22,NQH14,6540.75,6563.0,6538.5,6554.0,184592
2014-01-23,NQH14,6559.0,6568.75,6515.0,6547.25,286469
2014-01-24,NQH14,6546.75,6554.75,6461.25,6465.75,379834
2014-01-27,NQH14,6465.25,6478.5,6401.5,6436.5,444255
2014-01-28,NQH14,6402.5,6445.5,6399.25,6434.5,298021
2014-01-29,NQH14,6447.0,6462.5,6387.75,6406.5,396701
2014-01-30,NQH14,6413.5,6470.75,6404.5,6435.5,315346
2014-01-31,NQH14,6453.5,6466.25,6412.75,6447.5,326853
2014-02-03,NQH14,6447.5,6463.25,6358.75,6363.5,438269
2014-02-04,NQH14,6373.0,6407.25,6365.0,6385.5,324399
2014-02-05,NQH14,6385.5,6396.75,6345.5,6379.0,356874
2014-02-06,NQH14,6383.75,6432.75,6381.25,6420.75,267809
2014-02-07,NQH14,6424.25,6495.25,6413.0,6491.5,367851
2014-02-10,NQH14,6493.75,6515.25,6484.0,6511.0,205066
2014-02-11,NQH14,6512.75,6559.5,6512.0,6546.25,249858
2014-02-12,NQH14,6545.5,6567.0,6543.75,6558.0,252230
2014-02-13,NQH14,6556.75,6589.5,6530.25,6584.5,287786
2014-02-14,NQH14,6584.0,6601.5,6571.5,6594.5,212826
2014-02-18,NQH14,6593.5,6618.25,6587.5,6608.5,220169
2014-02-19,NQH14,6609.5,6613.0,6578.75,6588.0,277354
2014-02-20,NQH14,6588.0,6610.5,6571.75,6605.0,269725
2014-02-21,NQH14,6605.0,6620.25,6594.25,6598.0,186798
2014-02-24,NQH14,6599.25,6635.0,6588.5,6621.5,206372
