date,Market_and_Exchange_Names,contract_code,open_interest,dealer_longs,dealer_shorts,asset_mgr_longs,asset_mgr_shorts,lev_longs,lev_shorts,change_lev_longs,change_lev_shorts,lev_net,lev_net_pct,lev_net_wow,lev_net_pct_wow,lev_net_4w,asset_mgr_net,asset_mgr_net_pct,dealer_net,dealer_net_pct,positioning_pctile,positioning_signal
2014-01-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,2790363,215413,864500,1315307,389102,512931,764062,-6348.0,-16821.0,-251131,-0.0899994015115596,,,,926205,0.33192993169705876,-649087,-0.23261740497562503,,
2014-01-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,2885511,233338,880848,1349206,395064,543684,830570,30753.0,66508.0,-286886,-0.09942294449752574,-35755.0,-0.009423542985966135,,954142,0.33066656131271027,-647510,-0.22440046147805362,0.0,EXTREME_SHORT
2014-01-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,2871444,244770,887235,1341463,402426,517028,865161,-26656.0,34591.0,-348133,-0.12123969682152952,-61247.0,-0.021816752324003777,,939037,0.32702605379035776,-642465,-0.2237428276504783,0.0,EXTREME_SHORT
2014-01-28,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,2912005,228418,863379,1263308,436765,557384,873135,40356.0,7974.0,-315751,-0.10843078909548576,32382.0,0.012808907726043761,,826543,0.2838398285717229,-634961,-0.21804941955800214,0.25,NEUTRAL
2014-02-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,2985967,224615,856374,1226807,490647,599042,914463,41658.0,41328.0,-315421,-0.10563445610751894,330.0,0.002796332987966818,-64290.0,736160,0.24653989813015348,-631759,-0.21157601540807383,0.4,NEUTRAL
2014-02-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,3078305,242962,858325,1285435,436064,551982,999244,-47060.0,84781.0,-447262,-0.1452948944305389,-131841.0,-0.03966043832301995,-160376.0,849371,0.27592165168818555,-615363,-0.1999031934782291,0.0,EXTREME_SHORT
2014-02-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,3163772,262169,891338,1287102,427487,556690,1020978,4708.0,21734.0,-464288,-0.14675140939359727,-17026.0,-0.0014565149630583751,-116155.0,859615,0.27170573606441933,-629169,-0.198866732495262,0.0,EXTREME_SHORT
2014-02-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,3190988,267709,914035,1237923,455667,573234,1003564,16544.0,-17414.0,-430330,-0.13485791861329469,33958.0,0.011893490780302579,-114579.0,782256,0.2451453907065774,-646326,-0.20254729883033093,0.25,NEUTRAL
2014-03-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,3301075,300681,919010,1260456,450879,601829,1051941,28595.0,48377.0,-450112,-0.13635315768348188,-19782.0,-0.0014952390701871987,-134691.0,809577,0.24524647273994077,-618329,-0.18731140613285066,0.2222222222222222,NEUTRAL
2014-03-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13874A,3368513,285700,910100,1276794,437763,559171,1035810,-42658.0,-16131.0,-476639,-0.14149834066248224,-26527.0,-0.005145182979000351,-29377.0,839031,0.24908052900493483,-624400,-0.18536369015052043,0.2,NEUTRAL
