date,Market_and_Exchange_Names,contract_code,open_interest,dealer_longs,dealer_shorts,asset_mgr_longs,asset_mgr_shorts,lev_longs,lev_shorts,change_lev_longs,change_lev_shorts,lev_net,lev_net_pct,lev_net_wow,lev_net_pct_wow,lev_net_4w,asset_mgr_net,asset_mgr_net_pct,dealer_net,dealer_net_pct,positioning_pctile,positioning_signal
2014-01-07,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,432342,66403,310932,191423,18417,126031,58989,4800.0,28589.0,67042,0.15506705339754176,,,,173006,0.400160058472228,-244529,-0.5655915918416439,,
2014-01-14,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,431180,58887,288789,189439,19128,133083,67188,7052.0,8199.0,65895,0.1528248063453778,-1147.0,-0.0022422470521639704,,170311,0.39498817199313513,-229902,-0.5331926341667054,0.0,EXTREME_SHORT
2014-01-21,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,423596,56967,340606,187883,18437,125500,24489,-7583.0,-42699.0,101011,0.2384607031227868,35116.0,0.08563589677740902,,169446,0.40001794162362253,-283639,-0.6695979187716598,0.6666666666666666,NEUTRAL
2014-01-28,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,428422,50838,337115,185737,24327,132943,31273,7443.0,6784.0,101670,0.23731274304307434,659.0,-0.0011479600797124623,,161410,0.3767546951370378,-286277,-0.6682126501440169,0.5,NEUTRAL
2014-02-04,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,397238,51285,306446,170868,22159,115081,29902,-17862.0,-1371.0,85179,0.21442812621149035,-16491.0,-0.022884616831583993,18137.0,148709,0.3743574381101506,-255161,-0.6423378428045655,0.4,NEUTRAL
2014-02-11,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,405971,54516,301570,186415,20056,108553,39432,-6528.0,9530.0,69121,0.17026092996790412,-16058.0,-0.044167196243586226,3226.0,166359,0.4097805015629195,-247054,-0.6085508570809245,0.3333333333333333,NEUTRAL
2014-02-18,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,436373,59240,317738,188384,20958,127133,41745,18580.0,2313.0,85388,0.195676634438886,16267.0,0.025415704470981876,-15623.0,167426,0.3836763502783169,-258498,-0.5923785385438605,0.42857142857142855,NEUTRAL
2014-02-25,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,460568,60120,343793,188005,20573,151345,45612,24212.0,3867.0,105733,0.22957087769884144,20345.0,0.03389424325995544,4063.0,167432,0.363533723576106,-283673,-0.6159199075923643,0.625,NEUTRAL
2014-03-04,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,475074,60196,359001,200581,19648,155368,47880,4023.0,2268.0,107488,0.22625527812509208,1755.0,-0.003315599573749356,22309.0,180933,0.38085224617638513,-298805,-0.6289651717416656,0.5555555555555556,NEUTRAL
2014-03-11,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,209742,467493,66552,349047,197280,19692,138640,43420,-16728.0,-4460.0,95220,0.20368219417189135,-12268.0,-0.022573083953200734,26099.0,177588,0.3798730676181248,-282495,-0.6042764276684357,0.4,NEUTRAL
