week_end_date,week_open,week_close,oc_return_pct,actual_dir,predicted_conf,predicted_dir,match,base_rate_match
2026-02-05,25998.5,25670.0,-1.264,-1,LEAN BEAR,-1,True,False
2026-02-12,24416.0,24768.0,1.442,1,LEAN BEAR,-1,False,True
2026-02-19,24842.25,24858.75,0.066,0,MIXED,0,False,False
2026-02-26,24837.75,25081.0,0.979,1,MIXED,0,False,True
2026-03-05,25024.25,25049.5,0.101,0,LEAN BULL,1,False,False
2026-03-12,25019.75,24560.0,-1.838,-1,LEAN BEAR,-1,True,False
2026-03-19,24567.0,24364.0,-0.826,-1,LEAN BEAR,-1,True,False
2026-03-26,24417.25,23794.25,-2.551,-1,LEAN BEAR,-1,True,False
2026-04-02,23824.0,24218.0,1.654,1,LEAN BEAR,-1,False,True
2026-04-09,24093.5,25251.5,4.806,1,LEAN BEAR,-1,False,True
2026-04-16,25237.0,26487.25,4.954,1,LEAN BULL,1,True,True
2026-04-23,26460.0,26934.0,1.791,1,LEAN BULL,1,True,True
2026-04-30,26992.0,27596.0,2.238,1,LEAN BULL,1,True,True
2026-05-07,27631.75,28682.25,3.802,1,LEAN BULL,1,True,True
2026-05-14,28582.0,29687.75,3.869,1,LEAN BULL,1,True,True
2026-05-21,29690.0,29447.25,-0.818,-1,LEAN BEAR,-1,True,False
