date,pw_high,pw_low,pw_close,pw_mid,4w_high,4w_low,atr_5d,atr_20d,trend_4h,momentum_1h
2014-01-02,,,,,,,,,-4,-4.242198061814584e-05
2014-01-09,6512.5,6482.5,6492.75,6497.5,,,36.4,,0,0.0001353244490036487
2014-01-16,6510.5,6439.25,6481.25,6474.875,,,48.7,,2,-9.1923285301021e-05
2014-01-23,6543.75,6426.0,6528.75,6484.875,,,36.875,,-1,0.00021884948439719886
2014-01-30,6568.75,6507.75,6547.25,6538.25,6568.75,6426.0,71.55,,-1,-0.0002712715041781943
2014-02-06,6554.75,6387.75,6435.5,6471.25,6568.75,6387.75,61.35,54.85,4,-3.115576071675008e-05
2014-02-13,6466.25,6345.5,6420.75,6405.875,6568.75,6345.5,48.9,53.5375,4,-0.0001827199072902741
2014-02-20,6589.5,6413.0,6584.5,6501.25,6589.5,6345.5,33.4375,54.825,6,0.00017070560562667536
2014-02-27,6618.25,6571.5,6605.0,6594.875,6618.25,6345.5,37.3,46.8875,4,6.058362938184958e-05
2014-03-06,6640.25,6588.5,6635.0,6614.375,6640.25,6345.5,43.65,41.8375,-2,6.777590329989369e-05
2014-03-13,6670.75,6570.5,6655.5,6620.625,6670.75,6413.0,52.45,43.0,0,0.00010664419902106648
2014-03-20,6674.0,6569.75,6584.75,6621.875,6674.0,6569.75,52.4,46.45,4,6.806808944848086e-05
2014-03-27,6643.5,6540.25,6629.75,6591.875,6674.0,6540.25,69.65,54.5375,-1,0.00014666104487847108
2014-04-03,6651.0,6473.5,6492.5,6562.25,6674.0,6473.5,51.65,56.5375,2,0.0002710534207925663
2014-04-10,6607.25,6489.75,6569.0,6548.5,6674.0,6473.5,89.2,65.725,-2,-9.346042753444195e-05
2014-04-17,6596.0,6408.5,6418.25,6502.25,6651.0,6408.5,62.65,68.2875,4,0.0002567612896717475
2014-04-24,6480.75,6343.0,6461.5,6411.875,6651.0,6343.0,52.0,63.775,-2,6.547469341526835e-05
2014-05-01,6556.5,6455.0,6523.0,6505.75,6607.25,6343.0,54.1,64.8875,-2,5.382609236240787e-05
2014-05-08,6543.75,6418.75,6525.0,6481.25,6596.0,6343.0,54.45,59.6625,2,6.974800287073979e-05
2014-05-15,6542.75,6435.75,6475.75,6489.25,6556.5,6343.0,45.25,51.35,-2,-0.00010394282709044189
2014-05-22,6562.5,6448.75,6501.5,6505.625,6562.5,6418.75,41.75,48.8875,4,-0.00011383060093990149
2014-05-29,6598.0,6481.25,6586.25,6539.625,6598.0,6418.75,31.625,43.4375,2,3.0099981774411867e-05
2014-06-05,6675.5,6583.5,6673.75,6629.5,6675.5,6435.75,32.9,39.3625,4,0.00010447925570876704
2014-06-12,6720.25,6645.5,6714.5,6682.875,6720.25,6448.75,28.55,35.45,-4,0.00027284350335959884
2014-06-19,6744.75,6689.75,6709.5,6717.25,6744.75,6481.25,31.25,30.925,-3,7.501650274255311e-06
2014-06-26,6746.25,6693.25,6732.0,6719.75,6746.25,6583.5,31.4,31.025,0,1.49584929395985e-05
2014-07-03,6771.0,6724.25,6760.5,6747.625,6771.0,6645.5,30.1,30.325,2,0.00018280387551771192
2014-07-10,6861.0,6751.0,6858.75,6806.0,6861.0,6689.75,44.625,34.8625,4,6.249549202572702e-05
2014-07-17,6859.75,6774.5,6816.75,6817.125,6861.0,6693.25,42.15,36.2875,-2,-0.00024152313269639735
2014-07-24,6884.0,6802.25,6819.0,6843.125,6884.0,6724.25,41.75,39.075,-6,-0.00019924878944679313
2014-07-31,6934.25,6797.0,6914.75,6865.625,6934.25,6751.0,44.75,42.575,-2,0.0001135987585687448
2014-08-07,6926.0,6824.75,6827.75,6875.375,6934.25,6774.5,50.35,44.75,-4,-0.00032432542959714983
2014-08-14,6858.75,6783.75,6799.75,6821.25,6934.25,6783.75,44.2,45.2625,5,0.00013054797587738198
2014-08-21,6917.75,6769.5,6911.0,6843.625,6934.25,6769.5,28.6,41.975,6,4.2996363519043344e-05
2014-08-28,6992.0,6890.25,6990.5,6941.125,6992.0,6769.5,19.5,35.6625,3,0.00011074259965085931
2014-09-04,7021.5,6979.5,7012.75,7000.5,7021.5,6769.5,35.0,32.6625,-2,-5.706708912752712e-05
2014-09-11,7056.75,6999.25,7012.25,7028.0,7056.75,6769.5,40.95,31.025,2,0.00018190868977749908
2014-09-18,7053.5,6995.0,7034.0,7024.25,7056.75,6890.25,48.9,35.15,8,0.00039424383279691445
2014-09-25,7044.25,6948.75,7041.0,6996.5,7056.75,6948.75,56.5,44.675,-2,9.00531263322124e-05
2014-10-02,7063.25,6942.75,6952.0,7003.0,7063.25,6942.75,58.05,51.1,2,7.361476160128167e-06
2014-10-09,7009.25,6872.25,6922.5,6940.75,7063.25,6872.25,76.3,59.9375,-4,-0.00015556002036658522
2014-10-16,6992.25,6875.25,6914.75,6933.75,7063.25,6872.25,102.8,73.4125,6,-8.550525409518616e-05
2014-10-23,6911.5,6628.5,6686.0,6770.0,7063.25,6628.5,89.45,81.65,2,-0.00035589226408492267
2014-10-30,6969.25,6686.5,6949.75,6827.875,7009.25,6628.5,54.25,80.7,6,0.0005514009035611833
2014-11-06,7047.0,6915.0,7034.0,6981.0,7047.0,6628.5,45.9,73.1,4,0.0002711335536594195
2014-11-13,7120.75,7034.25,7107.25,7077.5,7120.75,6628.5,34.05,55.9125,2,0.0001051019412255827
2014-11-20,7171.5,7080.5,7149.5,7126.0,7171.5,6686.5,38.7,43.225,4,0.00013581219035039283
2014-11-27,7193.25,7136.0,7189.5,7164.625,7193.25,6915.0,36.375,39.9125,4,0.00010330075309008535
2014-12-04,7268.25,7182.0,7262.25,7225.125,7268.25,7034.25,39.55,37.1875,-2,-5.858016391873111e-05
2014-12-11,7292.5,7218.0,7258.0,7255.25,7292.5,7080.5,64.8,44.8125,-2,-0.0003720835719988158
2014-12-18,7271.25,7161.25,7181.0,7216.25,7292.5,7136.0,96.45,59.8,8,0.0007325479541784197
2014-12-25,7222.75,7031.75,7214.0,7127.25,7292.5,7031.75,33.375,58.5375,4,-3.092177159716991e-05
2015-01-01,7263.0,7206.5,7233.5,7234.75,7292.5,7031.75,45.9375,59.5625,2,0.0001080620344581007
2015-01-08,7273.0,7179.0,7183.75,7226.0,7273.0,7031.75,78.05,67.3375,4,-6.61205387285757e-05
2015-01-15,7223.75,7033.0,7183.25,7128.375,7273.0,7031.75,92.35,69.1125,-6,-0.000786232099064732
2015-01-22,7203.5,7017.0,7040.0,7110.25,7273.0,7017.0,84.0,71.55,1,5.919560030432924e-05
2015-01-29,7220.0,6992.5,7215.75,7106.25,7273.0,6992.5,86.0,84.75,0,0.0004997565989531938
2015-02-05,7237.25,7046.75,7136.75,7142.0,7237.25,6992.5,72.05,83.9625,2,0.0001079427811442879
2015-02-12,7205.75,7036.5,7198.5,7121.125,7237.25,6992.5,54.75,76.2,6,0.00010980375045117618
2015-02-19,7297.5,7152.5,7295.75,7225.0,7297.5,6992.5,31.5625,64.7375,6,3.742243605960871e-05
2015-02-26,7368.25,7291.75,7364.25,7330.0,7368.25,7036.5,32.55,51.35,2,0.00011844254956716593
2015-03-05,7415.75,7347.0,7412.75,7381.375,7415.75,7036.5,37.2,41.1,-1,-7.772804816010836e-05
2015-03-12,7434.25,7370.25,7400.5,7402.25,7434.25,7152.5,52.8,39.9875,4,6.880216910426507e-05
2015-03-19,7411.5,7249.75,7281.75,7330.625,7434.25,7249.75,58.25,45.2,2,2.7233555029970712e-05
2015-03-26,7390.0,7236.5,7377.0,7313.25,7434.25,7236.5,59.6,51.9625,6,0.00015498676739531537
2015-04-02,7427.25,7225.0,7265.75,7326.125,7434.25,7225.0,53.0,55.9125,2,2.070294259473027e-05
2015-04-09,7336.75,7214.0,7262.25,7275.375,7427.25,7214.0,56.85,56.925,1,0.00019096107343465895
2015-04-16,7356.25,7217.0,7354.25,7286.625,7427.25,7214.0,38.35,51.95,0,-4.7530942736495606e-05
2015-04-23,7396.5,7321.75,7370.25,7359.125,7427.25,7214.0,68.35,54.1375,8,0.00021582268052678933
2015-04-30,7452.25,7279.0,7436.5,7365.625,7452.25,7214.0,62.7,56.5625,-2,0.00011562223180493492
2015-05-07,7510.5,7341.5,7363.25,7426.0,7510.5,7217.0,69.7,59.775,6,8.504456902626023e-05
2015-05-14,7458.5,7287.5,7357.5,7373.0,7510.5,7279.0,56.7,64.3625,6,7.396697449921775e-05
2015-05-21,7448.0,7329.5,7445.25,7388.75,7510.5,7279.0,41.75,57.7125,6,4.3452776570840344e-05
2015-05-28,7491.5,7425.5,7483.75,7458.5,7510.5,7287.5,51.8125,57.0625,2,0.00010690147584540011
2015-06-04,7506.0,7410.0,7497.75,7458.0,7506.0,7287.5,49.0,51.0625,-2,0.00011100469403644287
2015-06-11,7500.25,7428.25,7451.5,7464.25,7506.0,7329.5,54.05,50.575,-4,-0.00012436919857536922
2015-06-18,7467.25,7345.25,7445.5,7406.25,7506.0,7345.25,58.95,53.3625,2,-1.65376583136867e-05
2015-06-25,7514.75,7366.25,7510.5,7440.5,7514.75,7345.25,42.05,51.0125,-6,-2.6685330516618143e-05
2015-07-02,7535.0,7476.0,7489.0,7505.5,7535.0,7345.25,58.9,53.4875,-2,0.0001588280999391789
2015-07-09,7496.75,7348.0,7408.5,7422.375,7535.0,7345.25,92.25,60.075,2,0.0003288198657373842
2015-07-16,7427.75,7311.5,7319.25,7369.625,7535.0,7311.5,72.65,66.6,4,0.00043319093548029877
2015-07-23,7592.25,7325.5,7577.5,7458.875,7592.25,7311.5,59.1,68.4875,-2,0.00035387464838859684
2015-07-30,7665.75,7564.0,7599.75,7614.875,7665.75,7311.5,65.35,69.3875,1,-2.6358510047808094e-05
2015-08-06,7618.5,7476.75,7575.0,7547.625,7665.75,7311.5,62.6,64.925,0,0.0001266727793748479
2015-08-13,7608.75,7482.5,7504.5,7545.625,7665.75,7325.5,74.45,65.375,0,-0.00044865995969799454
2015-08-20,7564.5,7411.0,7497.0,7487.75,7665.75,7411.0,72.25,68.6625,-6,-0.0008361131517130138
2015-08-27,7553.25,7339.75,7346.0,7446.5,7618.5,7339.75,215.3,106.15,2,0.000993064499899321
2015-09-03,7348.0,6888.0,7307.75,7118.0,7608.75,6888.0,99.85,115.4625,-6,-0.0007385556700103435
2015-09-10,7320.5,7098.0,7209.25,7209.25,7564.5,6888.0,109.5,121.1625,4,0.0002236881521605838
2015-09-17,7349.25,7134.75,7274.75,7242.0,7553.25,6888.0,70.3,125.9125,2,-0.0006943490604531588
2015-09-24,7427.75,7239.25,7355.75,7333.5,7427.75,6888.0,89.45,93.175,2,0.0006600373774697688
2015-10-01,7368.5,7171.25,7232.0,7269.875,7427.75,7098.0,121.15,96.35,0,0.0006129096888695451
2015-10-08,7301.75,7026.75,7173.5,7164.25,7427.75,7026.75,87.8,92.175,0,0.0008979065289938081
2015-10-15,7334.25,7097.5,7330.75,7215.875,7427.75,7026.75,53.1,87.875,4,0.00036616940942995057
2015-10-22,7398.0,7303.5,7397.75,7350.75,7398.0,7026.75,71.45,83.375,6,0.0012266312967229131
2015-10-29,7551.5,7380.75,7538.75,7466.125,7551.5,7026.75,56.25,67.15,8,0.0004344069524936156
2015-11-05,7664.25,7548.0,7647.75,7606.125,7664.25,7097.5,54.3,58.775,-4,1.3103051328844373e-05
2015-11-12,7715.75,7611.0,7681.25,7663.375,7715.75,7303.5,62.4,61.1,-4,-0.0005036097801665584
2015-11-19,7698.75,7567.25,7571.25,7633.0,7715.75,7380.75,78.35,62.825,1,-0.00010120505858660645
2015-11-26,7663.0,7441.0,7646.0,7552.0,7715.75,7441.0,45.4375,59.4,-2,-9.109188711967642e-05
2015-12-03,7692.75,7606.0,7663.25,7649.375,7715.75,7441.0,69.15,64.25,-4,0.00019434626546260825
2015-12-10,7725.5,7565.0,7597.0,7645.25,7725.5,7441.0,84.05,70.575,2,4.320024632579189e-05
2015-12-17,7716.0,7579.25,7630.0,7647.625,7725.5,7441.0,104.1,74.925,-2,-0.001035496654219803
2015-12-24,7672.25,7459.75,7558.0,7566.0,7725.5,7459.75,54.6,77.975,0,0.00010889354643653926
2015-12-31,7618.5,7490.75,7599.5,7554.625,7725.5,7459.75,65.5625,81.3625,-4,-0.0007182453452109882
2016-01-07,7686.25,7560.0,7576.25,7623.125,7716.0,7459.75,129.9375,87.4125,0,0.00029907847716635904
2016-01-14,7595.25,7271.5,7277.75,7433.375,7686.25,7271.5,138.7,98.1125,0,-0.0005980863767618527
2016-01-21,7358.5,7112.5,7246.0,7235.5,7686.25,7112.5,153.0,110.3625,0,0.0003444919828087145
2016-01-28,7257.25,6972.0,7118.75,7114.625,7686.25,6972.0,120.55,127.75,0,0.00027447001052555153
2016-02-04,7248.5,7090.5,7142.25,7169.5,7595.25,6972.0,112.25,132.25,-2,4.6143275596977065e-05
2016-02-11,7297.75,7079.0,7144.25,7188.375,7358.5,6972.0,136.8,131.825,4,0.0006190592959311903
2016-02-18,7162.0,6850.75,6949.75,7006.375,7297.75,6850.75,97.4375,117.2125,-4,4.974634411326617e-05
2016-02-25,7216.0,6941.5,7143.5,7078.75,7297.75,6850.75,83.1,107.1375,4,0.0004166058573343956
2016-03-03,7236.25,7073.25,7232.75,7154.75,7297.75,6850.75,83.0,99.8625,0,1.3767884299575872e-05
2016-03-10,7346.25,7168.75,7308.75,7257.5,7346.25,6850.75,67.1,83.95,0,0.0010398633495525389
2016-03-17,7343.5,7218.25,7273.5,7280.875,7346.25,6941.5,54.6,71.95,0,2.7254195641224223e-05
2016-03-24,7411.25,7271.0,7391.5,7341.125,7411.25,7073.25,46.05,62.6875,0,0.0003995118773707729
2016-03-31,7439.75,7363.5,7395.75,7401.625,7439.75,7168.75,55.1875,55.525,0,-0.000254060287252067
2016-04-07,7508.75,7372.5,7474.75,7440.625,7508.75,7218.25,68.15,59.125,-2,0.00020779362546831105
2016-04-14,7542.25,7440.0,7468.75,7491.125,7542.25,7271.0,58.55,56.875,2,3.316067416412327e-05
2016-04-21,7561.75,7425.0,7544.75,7493.375,7561.75,7363.5,56.05,58.525,-2,-0.0004773944116554851
2016-04-28,7583.0,7486.5,7496.25,7534.75,7583.0,7372.5,72.05,63.7,-2,-0.00041320169765438617
2016-05-05,7500.25,7344.75,7380.5,7422.5,7583.0,7344.75,61.95,62.15,-4,-8.881381676815182e-05
2016-05-12,7389.75,7290.75,7298.75,7340.25,7583.0,7290.75,60.9,62.7375,-4,-0.00014238857958804864
2016-05-19,7401.5,7269.5,7333.25,7335.5,7583.0,7269.5,69.4,66.075,2,0.0005264935585216901
2016-05-26,7392.25,7279.25,7315.75,7335.75,7500.25,7269.5,56.65,62.225,4,0.00013687496961864998
2016-06-02,7494.0,7313.0,7490.75,7403.5,7494.0,7269.5,33.875,56.0125,0,0.00014950449304179658
2016-06-09,7536.0,7484.75,7530.75,7510.375,7536.0,7269.5,36.4,51.1875,-1,5.764102570804397e-08
2016-06-16,7544.0,7477.25,7510.5,7510.625,7544.0,7279.25,53.95,46.525,4,0.0005092537721450796
2016-06-23,7512.5,7359.75,7424.0,7436.125,7544.0,7313.0,62.3,46.5375,-2,-0.002757538500166168
2016-06-30,7486.5,7360.75,7469.75,7423.625,7544.0,7359.75,130.35,70.75,2,9.803285559978336e-05
2016-07-07,7501.25,7175.0,7414.25,7338.125,7544.0,7175.0,60.625,75.225,0,4.7334536501952853e-05
2016-07-14,7468.5,7373.0,7459.5,7420.75,7512.5,7175.0,49.45,76.075,-4,5.947272121394898e-05
2016-07-21,7615.5,7447.0,7597.25,7531.25,7615.5,7175.0,45.2,72.6125,-2,-3.258458275438025e-05
2016-07-28,7669.5,7549.25,7645.5,7609.375,7669.5,7175.0,40.4,49.4875,0,0.00011682554920550148
2016-08-04,7739.25,7635.75,7727.0,7687.5,7739.25,7373.0,41.55,44.15,6,0.00014500902577168072
2016-08-11,7767.5,7689.0,7751.0,7728.25,7767.5,7447.0,37.65,41.2,-2,-3.51611096392479e-05
2016-08-18,7818.25,7749.75,7807.25,7784.0,7818.25,7549.25,27.55,36.7875,0,-2.8751021385042818e-05
2016-08-25,7842.5,7779.25,7815.75,7810.875,7842.5,7635.75,33.55,35.075,2,5.145163375498418e-05
2016-09-01,7844.0,7775.5,7789.5,7809.75,7844.0,7689.0,40.85,34.9,-2,-0.00010579974539880466
2016-09-08,7824.75,7756.75,7784.75,7790.75,7844.0,7749.75,41.8125,35.6125,-2,-9.514842553182135e-06
2016-09-15,7846.75,7781.5,7803.25,7814.125,7846.75,7756.75,99.5,52.9,2,-6.377707287472668e-05
