timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,atm_iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,27792.81,670.0,-2929.4399999999987,-9.535239118228642,-98290.2,101668.42,1105518.98,1012604.2899999999,1455685.77,0.288217,123.50999999999999,1264,21,1243,88.68,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,27792.81,670.0,-2929.4399999999987,-9.535239118228642,-102206.38,102849.34,1853195.9000000001,512439.61,957631.48,0.054129,155.31,4479,14,4465,55.12,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,27792.81,670.0,-2929.4399999999987,-9.535239118228642,-389216.06,391486.39999999997,9761177.95,973659.88,2573680.11,0.18440099999999998,855.89,13450,39,13411,39.9,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28000.21,675.0,-2722.040000000001,-8.860158354287204,-102893.39,114133.27,1189294.69,1053045.76,5900421.7,1.007727,124.99000000000001,1645,81,1564,79.95,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28000.21,675.0,-2722.040000000001,-8.860158354287204,-9978.15,10417.289999999999,181309.18,48062.42,659150.13,0.039585,14.540000000000001,427,9,418,50.93999999999999,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28000.21,675.0,-2722.040000000001,-8.860158354287204,-9936.0,10157.619999999999,245487.31,23387.68,214404.72999999998,0.019494,20.88,275,3,272,37.51,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28041.7,676.0,-2680.5499999999993,-8.72510965179959,-36092.21,36227.13,419333.57,328950.64,43548.70999999999,0.007232000000000001,38.84,537,1,536,78.28,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28041.7,676.0,-2680.5499999999993,-8.72510965179959,-2709.38,2709.38,49225.69,12301.26,-1896.68,-0.000116,3.72,109,0,109,50.14,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28041.7,676.0,-2680.5499999999993,-8.72510965179959,-3432.61,3432.61,84498.55,7777.28,-2605.82,-0.00025,6.97,88,0,88,37.05,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28083.18,677.0,-2639.0699999999997,-8.590093499011301,-39516.43,45424.21,461444.91,405826.95999999996,3295489.69,0.532494,47.68,692,45,647,76.63,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28083.18,677.0,-2639.0699999999997,-8.590093499011301,-3097.19,3503.3700000000003,56254.380000000005,15649.16,590081.36,0.036875,4.73,138,8,130,49.35,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28083.18,677.0,-2639.0699999999997,-8.590093499011301,-2477.49,3385.91,60748.73999999999,7547.11,812134.28,0.082548,6.79,82,11,71,36.599999999999994,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28124.66,678.0,-2597.59,-8.455077346223016,-34006.96,37458.799999999996,399074.7,329196.80000000005,1969687.03,0.309933,38.49,586,27,559,75.01,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28124.66,678.0,-2597.59,-8.455077346223016,-3145.2,3145.2,57097.19,13818.76,-2134.6,-0.000137,4.18,121,0,121,48.56,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28124.66,678.0,-2597.59,-8.455077346223016,-3373.83,3373.83,82382.99,7396.45,-2516.82,-0.000271,6.68,77,0,77,36.15,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28166.14,679.0,-2556.1100000000006,-8.320061193434727,-38567.64,38692.259999999995,454777.29,334396.94999999995,43866.41,0.006728,38.910000000000004,621,1,620,73.42,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28166.14,679.0,-2556.1100000000006,-8.320061193434727,-3041.99,3041.99,55183.41,13142.68,-2033.25,-0.000134,3.98,114,0,114,47.78999999999999,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28166.14,679.0,-2556.1100000000006,-8.320061193434727,-7271.01,7271.01,176760.01,15673.9,-5378.7,-0.000617,14.23,156,0,156,35.71,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28207.62,680.0,-2514.630000000001,-8.185045040646441,-83835.12000000001,89671.36,993189.6699999999,761926.22,3486757.18,0.521791,88.25,1475,48,1427,71.84,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28207.62,680.0,-2514.630000000001,-8.185045040646441,-8954.47,9613.69,162284.66999999998,40832.56,882414.7,0.059664,12.38,350,12,338,47.03,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28207.62,680.0,-2514.630000000001,-8.185045040646441,-17595.070000000003,19185.59,425732.24,40656.0,1170914.76,0.143261,37.08,386,16,370,35.27,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28249.11,681.0,-2473.1399999999994,-8.049996338158824,-20013.769999999997,20726.43,238178.81,173095.31,429001.07,0.06271499999999999,19.96,349,6,343,70.3,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28249.11,681.0,-2473.1399999999994,-8.049996338158824,-3062.25,3062.25,55432.25,12782.85,-1986.14,-0.000139,3.88,108,0,108,46.28,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28249.11,681.0,-2473.1399999999994,-8.049996338158824,-7864.29,8395.67,189338.18,17484.48,364198.23000000004,0.047638,16.03,158,5,153,34.84,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28290.59,682.0,-2431.66,-7.9149801853705375,-13767.39,13883.57,164561.06,113930.62,64025.09,0.009155,13.08,239,1,238,68.77999999999999,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28290.59,682.0,-2431.66,-7.9149801853705375,-3111.62,3640.0,56245.43,14929.25,664231.76,0.047997,4.54,124,9,115,45.53999999999999,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28290.59,682.0,-2431.66,-7.9149801853705375,-188455.73,188455.73,4513283.08,385594.95,-136146.02,-0.019087,355.4,3309,0,3309,34.42,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28332.07,683.0,-2390.1800000000003,-7.7799640325822494,-13087.77,13201.57,157098.04,106418.11,64758.439999999995,0.00907,12.16,232,1,231,67.28,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-23,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28332.07,683.0,-2390.1800000000003,-7.7799640325822494,-4907.8,4907.8,88563.54,19771.7,-3091.02,-0.000232,6.03,161,0,161,44.81,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-24,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28332.07,683.0,-2390.1800000000003,-7.7799640325822494,-9485.78,9485.78,225906.21,19063.03,-6802.54,-0.001025,17.67,155,0,155,34.0,,
2026-06-22T03:01:09 ET,2026-06-22T03:00:00 ET,2026-06-22,Mon,0301ET,2026-06-22,30722.25,740.62,30398.8,POSITIVE,EXPANSION,,18.177757481539057,,,,,,28373.55,684.0,-2348.7000000000007,-7.644947879793963,-19987.179999999997,20098.84,240885.72,159103.57,60254.13,0.008281,18.12,360,1,359,65.8,,
